Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
PRDM10-DT		11q24.3	AMP	1	133	0.8%	No
SLC7A13		8q21.3	AMP	2	133	1.5%	No
SNORD113-2		14q32.31	HOMDEL	1	133	0.8%	No
FRMD3		9q21.32	HOMDEL	1	133	0.8%	No
HERC2P4		16p11.2	HOMDEL	1	133	0.8%	No
ZBTB25		14q23.3	AMP	1	133	0.8%	No
NDUFA7		19p13.2	AMP	3	133	2.3%	No
ETS1		11q24.3	HOMDEL	4	133	3.0%	Yes
ZFHX4-AS1		8q21.13	AMP	2	133	1.5%	No
LCE2D		1q21.3	AMP	2	133	1.5%	No
FRG2B		10q26.3	HOMDEL	1	133	0.8%	No
TRAPPC2		Xp22.2	AMP	1	133	0.8%	No
E2F2		1p36.12	HOMDEL	1	133	0.8%	No
HCG23		6p21.32	AMP	3	133	2.3%	No
RAB37		17q25.1	AMP	4	133	3.0%	No
CDRT15P1		17p12	HOMDEL	3	133	2.3%	No
MINPP1		10q23.2	HOMDEL	5	133	3.8%	No
NYAP1		7q22.1	AMP	1	133	0.8%	No
RGS7		1q43	AMP	1	133	0.8%	No
ZNF45		19q13.31	AMP	1	133	0.8%	No
NDUFA6		22q13.2	AMP	1	133	0.8%	No
NME4		16p13.3	AMP	1	133	0.8%	No
UFSP2		4q35.1	HOMDEL	3	133	2.3%	No
ASCL5		1q32.1	AMP	1	133	0.8%	No
SPDYE3		7q22.1	AMP	1	133	0.8%	No
PLD5		1q43	AMP	1	133	0.8%	No
RPL10		Xq28	AMP	5	133	3.8%	Yes
LCE3C		1q21.3	AMP	2	133	1.5%	No
ZNF630		Xp11.23	HOMDEL	1	133	0.8%	No
CARD8-AS1		19q13.33	AMP	1	133	0.8%	No
MAPK1IP1L		14q22.3	AMP	1	133	0.8%	No
FOXJ1		17q25.1	AMP	2	133	1.5%	No
NME3		16p13.3	AMP	1	133	0.8%	No
EIF3D		22q12.3	AMP	1	133	0.8%	No
LGALS7B		19q13.2	AMP	1	133	0.8%	No
PATJ		1p31.3	AMP	1	133	0.8%	No
SUDS3		12q24.23	AMP	1	133	0.8%	No
ADGRL1-AS1		19p13.12	AMP	2	133	1.5%	No
KCNJ10		1q23.2	AMP	1	133	0.8%	No
LCE3B		1q21.3	AMP	2	133	1.5%	No
TMEM132E-DT		17q12	HOMDEL	1	133	0.8%	No
TRH		3q22.1	AMP	5	133	3.8%	No
GRK5		10q26.11	HOMDEL	2	133	1.5%	No
LAMA1		18p11.31	AMP	2	133	1.5%	No
SCEL		13q22.3	AMP	1	133	0.8%	No
GLIS3-AS1		9p24.2	HOMDEL	1	133	0.8%	No
HSD11B1L		19p13.3	AMP	1	133	0.8%	No
LINC01193		15q11.2	HOMDEL	1	133	0.8%	No
TPT1		13q14.13	HOMDEL	1	133	0.8%	No
INTS2		17q23.2	HOMDEL	1	133	0.8%	No
KCNJ9		1q23.2	AMP	1	133	0.8%	No
LAD1		1q32.1	AMP	1	133	0.8%	No
TRHR		8q23.1	AMP	2	133	1.5%	No
ERVV-2		19q13.41	AMP	1	133	0.8%	No
FGF21		19q13.33	AMP	1	133	0.8%	No
MTR		1q43	HOMDEL	2	133	1.5%	No
GABRG2		5q34	AMP	1	133	0.8%	No
RFK		9q21.13	HOMDEL	1	133	0.8%	No
RGS13		1q31.2	AMP	1	133	0.8%	No
EIF3G		19p13.2	AMP	2	133	1.5%	No
GIPC3		19p13.3	HOMDEL	3	133	2.3%	No
PEX11B		1q21.1	AMP	3	133	2.3%	No
LCE3E		1q21.3	AMP	2	133	1.5%	No
L1CAM		Xq28	AMP	5	133	3.8%	No
ZNF821		16q22.2	HOMDEL	1	133	0.8%	No
CPN1		10q24.2	AMP	1	133	0.8%	No
NAGA		22q13.2	HOMDEL	1	133	0.8%	No
TENT5C		1p12	HOMDEL	1	133	0.8%	Yes
DPP10		2q14.1	HOMDEL	1	133	0.8%	No
UBE2V1		20q13.13	AMP	3	133	2.3%	No
MAGI2		7q21.11	AMP	2	133	1.5%	No
RANGAP1		22q13.2	AMP	1	133	0.8%	No
NSD2		4p16.3	AMP	1	133	0.8%	Yes
CIAO3		16p13.3	AMP	1	133	0.8%	No
CYB561D1		1p13.3	HOMDEL	1	133	0.8%	No
LINC00911		14q31.3	HOMDEL	1	133	0.8%	No
CTSE		1q32.1	HOMDEL	1	133	0.8%	No
ATP8B3		19p13.3	AMP	2	133	1.5%	No
SCARNA2		1q13.1	HOMDEL	1	133	0.8%	No
ZKSCAN5		7q22.1	AMP	1	133	0.8%	No
RGS16		1q25.3	AMP	1	133	0.8%	No
ARHGEF16		1p36.32	HOMDEL	2	133	1.5%	No
C16ORF95		16q24.2	HOMDEL	2	133	1.5%	No
AKAP4		Xp11.22	HOMDEL	1	133	0.8%	No
TEX45		19p13.2	AMP	2	133	1.5%	No
GABRE		Xq28	AMP	5	133	3.8%	No
ARHGEF33		2p22.1	AMP	1	133	0.8%	No
DCC		18q21.2	HOMDEL	1	133	0.8%	No
PITPNM1		11q13.2	AMP	4	133	3.0%	No
CCT3		1q22	AMP	1	133	0.8%	No
FAM66C		12p13.31	AMP	1	133	0.8%	No
UBE2V2		8q11.21	AMP	1	133	0.8%	No
NELFA		4p16.3	AMP	1	133	0.8%	No
KCNU1		8p11.23	AMP	1	133	0.8%	No
CITED4		1p34.2	AMP	1	133	0.8%	No
YOD1		1q32.1	HOMDEL	1	133	0.8%	No
NNT		5p12	AMP	6	133	4.5%	No
KCNJ6		21q22.13	AMP	2	133	1.5%	No
RHAG		6p12.3	AMP	1	133	0.8%	No
CBX4		17q25.3	AMP	1	133	0.8%	No
TRIL		7p14.3	AMP	1	133	0.8%	No
ZNF705A		12p13.31	AMP	1	133	0.8%	No
SHANK3		22q13.33	HOMDEL	2	133	1.5%	No
SNORD32B		6p22.1	HOMDEL	1	133	0.8%	No
ARMC3		10p12.2	AMP	1	133	0.8%	No
TRIO		5p15.2	AMP	6	133	4.5%	No
UBE3A		15q11.2	AMP	1	133	0.8%	No
NCF1		7q11.23	AMP	2	133	1.5%	No
SNORD114-10		14q32.31	HOMDEL	1	133	0.8%	No
CHAD		17q21.33	AMP	1	133	0.8%	No
KTN1		14q22.1	AMP	1	133	0.8%	Yes
CSAD		12q13.13	AMP	1	133	0.8%	No
KCNJ5		11q24.3	AMP	1	133	0.8%	Yes
EIF3H		8q23.3-q24.11	AMP	2	133	1.5%	No
POLI		18q21.2	HOMDEL	1	133	0.8%	No
PCSK5		9q21.13	HOMDEL	1	133	0.8%	No
STON1-GTF2A1L		2p16.3	AMP	1	133	0.8%	No
ATP6V0CP3		6p21.1	AMP	1	133	0.8%	No
TRPM1		15q13.3	HOMDEL	1	133	0.8%	No
FTO		16q12.2	HOMDEL	1	133	0.8%	No
NDUFB3		2q33.1	AMP	2	133	1.5%	No
ACADVL		17p13.1	HOMDEL	2	133	1.5%	No
MLLT1		19p13.3	HOMDEL	3	133	2.3%	Yes
SH3GL1		19p13.3	HOMDEL	3	133	2.3%	Yes
ZNF232		17p13.2	HOMDEL	2	133	1.5%	No
FAM86B3P		8p23.1	HOMDEL	1	133	0.8%	No
ZNF451-AS1		6p12.1	AMP	2	133	1.5%	No
PTGER4P2-CDK2AP2P2		9q13	HOMDEL	1	133	0.8%	No
PCBP2-OT1		12q13.13	AMP	1	133	0.8%	No
LANCL2		7p11.2	AMP	2	133	1.5%	No
RTBDN		19p13.13	HOMDEL	1	133	0.8%	No
SDHC		1q23.3	AMP	1	133	0.8%	Yes
DEFA11P		8p23.1	HOMDEL	1	133	0.8%	No
TRIM17		1q42.13	HOMDEL	2	133	1.5%	No
MOAP1		14q32.12	HOMDEL	1	133	0.8%	No
PSG10P		19q13.2	AMP	1	133	0.8%	No
TTYH1		19q13.42	AMP	1	133	0.8%	No
POTEB		15q11.2	AMP	1	133	0.8%	No
NOCT		4q31.1	HOMDEL	1	133	0.8%	No
GAK		4p16.3	HOMDEL	4	133	3.0%	No
CTDNEP1		17p13.1	HOMDEL	2	133	1.5%	No
CDH1		16q22.1	HOMDEL	1	133	0.8%	Yes
LINC02912		8q24.21	AMP	3	133	2.3%	No
C2CD4D		1q21.3	AMP	2	133	1.5%	No
SLC25A30		13q14.13	HOMDEL	1	133	0.8%	No
LINC00642		14q32.11	AMP	3	133	2.3%	No
UTRN		6q24.2	HOMDEL	1	133	0.8%	No
IFT172		2p23.3	AMP	3	133	2.3%	No
NLRP3		1q44	AMP	1	133	0.8%	No
BTLA		3q13.2	AMP	5	133	3.8%	Yes
SNORD114-24		14q32.31	AMP	1	133	0.8%	No
TMEM240		1p36.33	HOMDEL	2	133	1.5%	No
SOCS3-DT		17q25.3	AMP	1	133	0.8%	No
VANGL2		1q23.2	AMP	1	133	0.8%	No
GAMT		19p13.3	HOMDEL	4	133	3.0%	No
RAB11B-AS1		19p13.2	HOMDEL	2	133	1.5%	No
GUCY2EP		11q13.5	AMP	1	133	0.8%	No
PGLS		19p13.11	HOMDEL	2	133	1.5%	No
NDUFB1		14q31.3	AMP	2	133	1.5%	No
ANKRD24		19p13.3	AMP	1	133	0.8%	No
TNPO3		7q32.1	AMP	1	133	0.8%	No
PGBD3		10q11	HOMDEL	1	133	0.8%	No
GTF2F2		13q14.12-q14.13	HOMDEL	1	133	0.8%	No
FRAT2		10q24.1	AMP	1	133	0.8%	No
SPEN		1p36.21-p36.13	HOMDEL	1	133	0.8%	Yes
SPSB1		1p36.22	HOMDEL	1	133	0.8%	No
C19ORF25		19p13.3	AMP	1	133	0.8%	No
SNORD114-23		14q32.31	AMP	1	133	0.8%	No
IGHMBP2		11q13.3	AMP	3	133	2.3%	No
ACOT4		14q24.3	AMP	1	133	0.8%	No
RBFOX1		16p13.3	AMP	1	133	0.8%	No
DOCK8-AS1		9p24.3	AMP	2	133	1.5%	No
TTC7A		2p21	AMP	1	133	0.8%	No
MIPEP		13q12.12	HOMDEL	1	133	0.8%	No
NDUFS7		19p13.3	HOMDEL	4	133	3.0%	No
PEX14		1p36.22	AMP	1	133	0.8%	No
PAK2		3q29	AMP	20	133	15.0%	No
NUP133-DT		1q42.13	AMP	1	133	0.8%	No
NOP2		12p13.31	AMP	1	133	0.8%	No
B3GAT1-DT		11q25	HOMDEL	4	133	3.0%	No
RGS22		8q22.2	AMP	2	133	1.5%	No
RYR1		19q13.2	AMP	1	133	0.8%	No
PLPPR2		19p13.2	HOMDEL	1	133	0.8%	No
PLEKHH1		14q24.1	AMP	1	133	0.8%	No
ZNF283		19q13.31	AMP	1	133	0.8%	No
HAR1B		20q13.33	AMP	3	133	2.3%	No
NMRK2		19p13.3	AMP	1	133	0.8%	No
MZF1		19q13.43	AMP	1	133	0.8%	No
PF4		4q13.3	AMP	1	133	0.8%	No
SP110		2q37.1	HOMDEL	4	133	3.0%	No
XPO7		8p21.3	HOMDEL	1	133	0.8%	No
SUSD1		9q31.3-q32	AMP	1	133	0.8%	No
RSPH6A		19q13.3	AMP	1	133	0.8%	No
FBXO46		19q13.32	AMP	1	133	0.8%	No
MUC16		19p13.2	HOMDEL	2	133	1.5%	No
EHF		11p13	AMP	1	133	0.8%	No
GAGE12G		Xp11.23	HOMDEL	1	133	0.8%	No
TVP23C-CDRT4		17p12	HOMDEL	3	133	2.3%	No
RYR2		1q43	AMP	1	133	0.8%	No
DUXA		19q13.43	AMP	1	133	0.8%	No
LMOD1		1q32.1	AMP	1	133	0.8%	No
SLC45A4		8q24.3	AMP	5	133	3.8%	No
ZNF304		19q13.43	AMP	1	133	0.8%	No
FOXO3		6q21	AMP	1	133	0.8%	Yes
DLGAP1-AS5		18p11.31	AMP	2	133	1.5%	No
OR5P2		11p15.4	HOMDEL	1	133	0.8%	No
LYPD5		19q13.31	AMP	1	133	0.8%	No
SERPINA6		14q32.13	HOMDEL	1	133	0.8%	No
FPGT		1p31.1	AMP	1	133	0.8%	No
ASMTL-AS1		Xp22.33 and Yp11.32	AMP	1	133	0.8%	No
LINC00408		13q12.11	HOMDEL	1	133	0.8%	No
PALM		19p13.3	AMP	1	133	0.8%	No
SERP1		3q25.1	AMP	9	133	6.8%	No
GAB3		Xq28	AMP	6	133	4.5%	No
