Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TMEM132D		1	1	127	0.8%	No
FLT1		3	3	127	2.4%	Yes
IPP		2	2	127	1.6%	No
OPHN1		2	1	127	0.8%	No
RBPMS-AS1		1	1	127	0.8%	No
IRAK1		2	2	127	1.6%	No
OPRD1		1	1	127	0.8%	No
IRAK2		1	1	127	0.8%	No
OPRL1		1	1	127	0.8%	No
IREB2		4	3	127	2.4%	No
FMO4		1	1	127	0.8%	No
IRF1		2	2	127	1.6%	Yes
ISL1		1	1	127	0.8%	No
ISLR		1	1	127	0.8%	No
ITGA1		1	1	127	0.8%	No
ITGA2		2	2	127	1.6%	No
CDH12		3	3	127	2.4%	No
OTUD5		3	3	127	2.4%	No
ZNF611		3	3	127	2.4%	No
MED25		1	1	127	0.8%	No
VEZT		2	2	127	1.6%	No
SHARPIN		1	1	127	0.8%	No
CDH10		5	4	127	3.1%	No
FNTA		1	1	127	0.8%	No
ZCCHC8		3	3	127	2.4%	No
CDH8		1	1	127	0.8%	No
OR4K1		1	1	127	0.8%	No
FN1		1	1	127	0.8%	No
CDH5		1	1	127	0.8%	No
AFF2		2	2	127	1.6%	No
CDH4		3	3	127	2.4%	No
MRGPRX1		1	1	127	0.8%	No
FMR1		1	1	127	0.8%	No
OR3A1		1	1	127	0.8%	No
IRF6		1	1	127	0.8%	No
OR3A2		1	1	127	0.8%	No
IRF7		2	1	127	0.8%	No
IRS1		2	2	127	1.6%	Yes
ORC1		3	3	127	2.4%	No
ZXDB		1	1	127	0.8%	No
CDH11		1	1	127	0.8%	Yes
FMR1NB		1	1	127	0.8%	No
ITGA9		2	2	127	1.6%	No
ITGAL		1	1	127	0.8%	No
ITGAM		3	3	127	2.4%	No
FOS		2	2	127	1.6%	No
CDK6		1	1	127	0.8%	Yes
FOLR3		1	1	127	0.8%	No
FAHD1		1	1	127	0.8%	No
NKAIN1		1	1	127	0.8%	No
TTC13		1	1	127	0.8%	No
CDK4		1	1	127	0.8%	Yes
ABHD8		2	2	127	1.6%	No
CDK3		3	3	127	2.4%	No
FOLR1		1	1	127	0.8%	No
CDC73		1	1	127	0.8%	Yes
CDH18		1	1	127	0.8%	No
FOLH1		3	3	127	2.4%	No
CDH16		1	1	127	0.8%	No
CDH15		1	1	127	0.8%	No
ITGA2B		1	1	127	0.8%	No
ITGA3		1	1	127	0.8%	No
ITGA4		5	4	127	3.1%	No
QTRT1		1	1	127	0.8%	No
ITGA5		3	2	127	1.6%	No
ITGA7		4	4	127	3.1%	No
METTL24		1	1	127	0.8%	No
ITGB3		3	3	127	2.4%	No
ITGB4		4	4	127	3.1%	No
ITGB5		1	1	127	0.8%	No
ITGB6		2	2	127	1.6%	No
FRYL		3	3	127	2.4%	No
CDKN2A		2	2	127	1.6%	Yes
LAS1L		2	2	127	1.6%	No
CDKN1B		1	1	127	0.8%	Yes
FPR2		1	1	127	0.8%	No
CDKN1A		1	1	127	0.8%	Yes
CDK9		1	1	127	0.8%	No
FPGS		1	1	127	0.8%	No
FOSB		1	1	127	0.8%	No
ITGAV		2	2	127	1.6%	No
ITGAX		2	2	127	1.6%	No
ITGB1		3	2	127	1.6%	No
MDS2		1	1	127	0.8%	Yes
FANK1		1	1	127	0.8%	No
BOD1L1		9	8	127	6.3%	No
TAS2R43		1	1	127	0.8%	No
DNAAF8		1	1	127	0.8%	No
DUSP29		1	1	127	0.8%	No
SAP130		4	4	127	3.1%	No
OBI1		1	1	127	0.8%	No
CDR2		1	1	127	0.8%	No
CDR1		1	1	127	0.8%	No
CEP97		1	1	127	0.8%	No
ITIH2		3	3	127	2.4%	No
ITIH3		4	4	127	3.1%	No
CCDC122		2	2	127	1.6%	No
ATXN3L		1	1	127	0.8%	No
DGKH		2	2	127	1.6%	No
BICDL1		1	1	127	0.8%	No
CEBPE		1	1	127	0.8%	No
SPAG16		1	1	127	0.8%	No
CEBPA		1	1	127	0.8%	Yes
TAS2R50		1	1	127	0.8%	No
TAS2R20		1	1	127	0.8%	No
CORO7		3	3	127	2.4%	No
CARS2		1	1	127	0.8%	No
CEACAM5		1	1	127	0.8%	No
RNF128		2	2	127	1.6%	No
RDH8		1	1	127	0.8%	No
MALRD1		1	1	127	0.8%	No
CENPF		5	4	127	3.1%	No
CENPE		11	9	127	7.1%	No
ENPP5		1	1	127	0.8%	No
PRDM5		1	1	127	0.8%	No
CENPB		2	2	127	1.6%	No
KIAA1671		1	1	127	0.8%	No
SRRM5		4	2	127	1.6%	No
HNRNPUL1		1	1	127	0.8%	No
MICALL1		1	1	127	0.8%	No
TUBGCP6		3	3	127	2.4%	No
PTCHD1		1	1	127	0.8%	No
PCSK9		1	1	127	0.8%	No
SSC5D		1	1	127	0.8%	No
PRDM7		1	1	127	0.8%	No
SHC2		4	3	127	2.4%	No
UHRF2		4	4	127	3.1%	No
KIAA1549L		6	6	127	4.7%	No
BTN3A1		1	1	127	0.8%	No
BTN3A2		1	1	127	0.8%	No
STRIP1		2	2	127	1.6%	No
OBSCN		5	5	127	3.9%	No
CIT		3	3	127	2.4%	No
ZC3HAV1		5	3	127	2.4%	No
MAGEB10		1	1	127	0.8%	No
EMILIN1		1	1	127	0.8%	No
CFTR		3	3	127	2.4%	No
MAGT1		2	2	127	1.6%	No
RBM48		1	1	127	0.8%	No
DCAF8L1		1	1	127	0.8%	No
CEACAM8		2	2	127	1.6%	No
CCDC112		1	1	127	0.8%	No
CEACAM7		1	1	127	0.8%	No
UNC13C		6	5	127	3.9%	No
CEACAM3		1	1	127	0.8%	No
GDF5-AS1		1	1	127	0.8%	No
EIF2AK4		1	1	127	0.8%	No
SLAMF8		1	1	127	0.8%	No
CHST12		2	1	127	0.8%	No
ETNK1		1	1	127	0.8%	Yes
TEX35		1	1	127	0.8%	No
TRPV6		3	3	127	2.4%	No
GPR137		1	1	127	0.8%	No
SLC35E3		1	1	127	0.8%	No
RNF40		2	2	127	1.6%	No
CTIF		2	2	127	1.6%	No
OR6C65		1	1	127	0.8%	No
TEX55		2	2	127	1.6%	No
ADGRV1		10	7	127	5.5%	No
IGSF11		3	3	127	2.4%	No
SAGE1		2	2	127	1.6%	No
DDX43		1	1	127	0.8%	No
WDR54		1	1	127	0.8%	No
SPOCK2		1	1	127	0.8%	No
ENKD1		1	1	127	0.8%	No
ZRANB3		1	1	127	0.8%	No
RB1CC1		6	5	127	3.9%	No
ARL10		1	1	127	0.8%	No
CUL7		2	2	127	1.6%	No
ALDH16A1		1	1	127	0.8%	No
RAD18		1	1	127	0.8%	No
CPT1C		1	1	127	0.8%	No
GRIPAP1		2	2	127	1.6%	No
SFI1		1	1	127	0.8%	No
MYZAP		2	2	127	1.6%	No
EFCAB14		2	2	127	1.6%	No
TSC22D2		1	1	127	0.8%	No
PRAG1		2	2	127	1.6%	No
PIP4P2		2	2	127	1.6%	No
HORMAD1		3	3	127	2.4%	No
ARMC2		3	3	127	2.4%	No
SLC43A1		1	1	127	0.8%	No
JAKMIP2		1	1	127	0.8%	No
PKP4		1	1	127	0.8%	No
TRIM14		1	1	127	0.8%	No
PPFIA1		2	2	127	1.6%	No
CRYBG1		1	1	127	0.8%	No
MAML3		1	1	127	0.8%	No
AK2		1	1	127	0.8%	No
SPATA2		1	1	127	0.8%	No
AKT1		4	4	127	3.1%	Yes
ARHGEF11		2	2	127	1.6%	No
C3ORF20		2	2	127	1.6%	No
AKT2		2	2	127	1.6%	Yes
ARMCX2		2	2	127	1.6%	No
ARHGAP11A		1	1	127	0.8%	No
ANKRD27		1	1	127	0.8%	No
DNAJC6		2	2	127	1.6%	No
QRICH2		2	2	127	1.6%	No
TKTL2		2	2	127	1.6%	No
ARHGEF17		2	2	127	1.6%	No
TREM2		1	1	127	0.8%	No
FSCB		3	3	127	2.4%	No
ADCY4		1	1	127	0.8%	No
HEPH		1	1	127	0.8%	No
LIPF		1	1	127	0.8%	No
ELMO1		1	1	127	0.8%	No
ZBTB24		1	1	127	0.8%	No
IHO1		2	2	127	1.6%	No
ALAD		1	1	127	0.8%	No
TREM1		1	1	127	0.8%	No
ALAS1		3	3	127	2.4%	No
NETO1		4	4	127	3.1%	No
ALAS2		4	4	127	3.1%	No
SIGLEC11		1	1	127	0.8%	No
ALCAM		2	2	127	1.6%	No
ABCD1		2	2	127	1.6%	No
ALDH1A1		2	2	127	1.6%	No
SNTG1		2	2	127	1.6%	No
PODN		1	1	127	0.8%	No
ALDH2		1	1	127	0.8%	No
PARG		1	1	127	0.8%	No
LCMT2		2	2	127	1.6%	No
ZCCHC12		1	1	127	0.8%	No
CNTNAP1		3	3	127	2.4%	No
PIK3R3		1	1	127	0.8%	Yes
FAM30A		1	1	127	0.8%	No
SLC41A1		2	2	127	1.6%	No
DYNLT2B		3	2	127	1.6%	No
NIPSNAP1		1	1	127	0.8%	No
ZEB2		3	3	127	2.4%	No
KIAA0753		1	1	127	0.8%	No
C2CD2L		3	3	127	2.4%	No
FARP2		1	1	127	0.8%	No
CCDC18		2	1	127	0.8%	No
GCM1		1	1	127	0.8%	No
EPM2AIP1		2	2	127	1.6%	No
RUSC2		2	2	127	1.6%	No
ALDH1A3		1	1	127	0.8%	No
SNTG2		1	1	127	0.8%	No
ALDH3B2		1	1	127	0.8%	No
ALDH9A1		1	1	127	0.8%	No
TCEANC2		1	1	127	0.8%	No
ALDH3A2		1	1	127	0.8%	No
CCDC39		2	2	127	1.6%	No
KLK15		1	1	127	0.8%	No
FSTL5		2	2	127	1.6%	No
ITGA8		2	2	127	1.6%	No
C2CD5		1	1	127	0.8%	No
KCNAB2		1	1	127	0.8%	No
ITGA10		2	2	127	1.6%	No
GAB2		3	3	127	2.4%	Yes
PLXNA3		7	6	127	4.7%	No
DNAAF3		1	1	127	0.8%	No
TM9SF3		2	2	127	1.6%	No
ELP1		2	1	127	0.8%	No
PSMD6		1	1	127	0.8%	No
YBX3		2	2	127	1.6%	No
MED24		1	1	127	0.8%	No
TRH		2	2	127	1.6%	No
GLRA4		1	1	127	0.8%	No
SH2D7		2	2	127	1.6%	No
LRIG2		1	1	127	0.8%	No
WWP2		2	2	127	1.6%	No
MMAB		1	1	127	0.8%	No
CHST1		2	2	127	1.6%	No
SOX30		1	1	127	0.8%	No
CBX4		1	1	127	0.8%	No
TRIM66		1	1	127	0.8%	No
DUS4L		1	1	127	0.8%	No
TRIO		8	7	127	5.5%	No
CPZ		4	4	127	3.1%	No
MAGI2		2	2	127	1.6%	No
CCT3		1	1	127	0.8%	No
COPS3		2	2	127	1.6%	No
CNTRL		4	4	127	3.1%	Yes
ANO3		4	4	127	3.1%	No
KIF21B		3	3	127	2.4%	No
PDS5B		2	2	127	1.6%	Yes
FNBP1		1	1	127	0.8%	Yes
SMG1		9	8	127	6.3%	Yes
MYT1L		2	2	127	1.6%	No
MON2		5	5	127	3.9%	No
PDXDC1		1	1	127	0.8%	No
TNIK		7	7	127	5.5%	No
ALK		3	3	127	2.4%	Yes
PPP1R26		2	2	127	1.6%	No
CEP170		2	2	127	1.6%	No
NEUROG3		1	1	127	0.8%	No
DGKZ		1	1	127	0.8%	No
KIAA0319		1	1	127	0.8%	No
RAPGEF4		3	3	127	2.4%	No
CEP350		3	3	127	2.4%	No
ADGRG4		6	6	127	4.7%	No
CNTN4		2	2	127	1.6%	No
PPFIA3		6	6	127	4.7%	No
TMEM115		2	2	127	1.6%	No
AREL1		2	2	127	1.6%	No
DUSP14		1	1	127	0.8%	No
AGPS		1	1	127	0.8%	No
CGGBP1		1	1	127	0.8%	No
AP3B1		2	2	127	1.6%	No
ZC3H11A		2	2	127	1.6%	No
TOPBP1		3	2	127	1.6%	No
TLK1		2	2	127	1.6%	No
TPPP		1	1	127	0.8%	No
PIR		1	1	127	0.8%	No
URB1		1	1	127	0.8%	No
STMN2		1	1	127	0.8%	No
KRTCAP3		1	1	127	0.8%	No
RWDD4		1	1	127	0.8%	No
CLUAP1		1	1	127	0.8%	No
ALOX5		2	2	127	1.6%	No
ALOX12B		2	2	127	1.6%	Yes
ZHX3		1	1	127	0.8%	No
HGSNAT		1	1	127	0.8%	No
ENDOD1		1	1	127	0.8%	No
ALOX15B		1	1	127	0.8%	No
ZSWIM8		11	7	127	5.5%	No
ALPI		1	1	127	0.8%	No
NCOA6		2	2	127	1.6%	No
LRRC56		1	1	127	0.8%	No
SETDB1		4	4	127	3.1%	Yes
TRIOBP		9	7	127	5.5%	No
TRIP6		1	1	127	0.8%	No
API5		1	1	127	0.8%	No
HSF2BP		1	1	127	0.8%	No
CAMK1		1	1	127	0.8%	No
BCAS1		1	1	127	0.8%	No
TOMM70		4	3	127	2.4%	No
TRPC1		6	4	127	3.1%	No
BHLHE40		2	2	127	1.6%	No
TRPC3		1	1	127	0.8%	No
MAPKAPK5		1	1	127	0.8%	No
TRANK1		3	3	127	2.4%	No
TBC1D4		1	1	127	0.8%	No
CDC14A		1	1	127	0.8%	No
SMG7		1	1	127	0.8%	No
B4GAT1		1	1	127	0.8%	No
TRPC4		1	1	127	0.8%	No
PIM2		2	2	127	1.6%	No
OSBPL2		2	2	127	1.6%	No
MID2		2	2	127	1.6%	No
CDC14B		2	2	127	1.6%	No
RHOBTB1		1	1	127	0.8%	No
TMCC1		2	2	127	1.6%	No
PDZRN3		2	2	127	1.6%	No
UNC13A		2	2	127	1.6%	No
MYO16		2	2	127	1.6%	No
CT45A5		1	1	127	0.8%	No
ZBTB39		2	2	127	1.6%	No
KDM1A		3	3	127	2.4%	No
ALX3		1	1	127	0.8%	No
SNRNP200		3	3	127	2.4%	No
PALLD		1	1	127	0.8%	No
LGR5		3	2	127	1.6%	No
TRO		3	3	127	2.4%	No
ADRM1		1	1	127	0.8%	No
BLZF1		1	1	127	0.8%	No
DDX46		1	1	127	0.8%	No
SLC35D2		1	1	127	0.8%	No
THOC5		2	2	127	1.6%	No
TELO2		2	2	127	1.6%	No
KMO		1	1	127	0.8%	No
TECPR2		1	1	127	0.8%	No
SNAP91		2	2	127	1.6%	No
UBAP2L		3	2	127	1.6%	No
CPSF6		1	1	127	0.8%	No
RRP1		1	1	127	0.8%	No
FIG4		3	3	127	2.4%	No
WASHC5		2	2	127	1.6%	No
SAMD4A		4	4	127	3.1%	No
ZNF292		7	6	127	4.7%	No
PDZD2		3	3	127	2.4%	No
EPHX4		1	1	127	0.8%	No
PLPPR4		1	1	127	0.8%	No
NUAK1		1	1	127	0.8%	No
AMD1		2	2	127	1.6%	No
B3GALT5-AS1		1	1	127	0.8%	No
KDM4B		1	1	127	0.8%	No
AMHR2		1	1	127	0.8%	No
MAST3		5	3	127	2.4%	No
PRR14L		3	3	127	2.4%	No
USP33		2	2	127	1.6%	No
FBF1		2	2	127	1.6%	No
ZNF813		1	1	127	0.8%	No
DOP1A		1	1	127	0.8%	No
DDX52		1	1	127	0.8%	No
TRPS1		2	2	127	1.6%	No
COL27A1		3	3	127	2.4%	No
CDK10		2	2	127	1.6%	No
ZBED4		2	2	127	1.6%	No
PRPF18		2	2	127	1.6%	No
OR5H15		1	1	127	0.8%	No
CASK		2	2	127	1.6%	No
SCARF1		1	1	127	0.8%	No
WDFY3		6	6	127	4.7%	No
DAAM1		2	2	127	1.6%	No
AMPD1		2	2	127	1.6%	No
AMPD2		1	1	127	0.8%	No
KHSRP		1	1	127	0.8%	No
MAPKBP1		1	1	127	0.8%	No
AMPD3		2	2	127	1.6%	No
AMPH		3	3	127	2.4%	No
PLCH1		11	9	127	7.1%	No
FETUB		1	1	127	0.8%	No
KLHDC10		1	1	127	0.8%	No
CYFIP2		1	1	127	0.8%	No
CEP20		1	1	127	0.8%	No
AMY1A		1	1	127	0.8%	No
AMY1C		1	1	127	0.8%	No
AMY2A		2	2	127	1.6%	No
VAX1		1	1	127	0.8%	No
TDRKH		1	1	127	0.8%	No
MKNK1		1	1	127	0.8%	Yes
LILRA1		1	1	127	0.8%	No
B3GNT5		3	3	127	2.4%	No
LILRA2		1	1	127	0.8%	No
LILRA3		5	5	127	3.9%	No
RBPMS		2	2	127	1.6%	No
DCAF4L2		2	2	127	1.6%	No
TSPYL1		1	1	127	0.8%	No
SPEN		13	8	127	6.3%	Yes
AMY2B		3	3	127	2.4%	No
ANGPT1		1	1	127	0.8%	No
CNOT1		3	3	127	2.4%	No
ANK1		5	5	127	3.9%	No
ANK2		7	7	127	5.5%	No
ANK3		6	6	127	4.7%	No
TSC2		7	7	127	5.5%	Yes
ABCC11		2	2	127	1.6%	No
RIPK3		1	1	127	0.8%	No
NTAN1		1	1	127	0.8%	No
ZNF440		3	2	127	1.6%	No
TTC3		5	4	127	3.1%	No
IL21		1	1	127	0.8%	No
ANPEP		1	1	127	0.8%	No
SLC25A5		1	1	127	0.8%	No
CHORDC1		1	1	127	0.8%	No
PARP15		1	1	127	0.8%	No
SLC25A6		1	1	127	0.8%	No
EIPR1		2	2	127	1.6%	No
SWSAP1		1	1	127	0.8%	No
SHANK3		3	3	127	2.4%	No
SLC27A2		2	2	127	1.6%	No
SLC27A3		1	1	127	0.8%	No
SPINK5		1	1	127	0.8%	No
KIF2C		1	1	127	0.8%	No
SHISAL1		1	1	127	0.8%	No
LILRB4		1	1	127	0.8%	No
TUB		3	3	127	2.4%	No
TUBA4A		2	2	127	1.6%	No
TTR		1	1	127	0.8%	No
ARSK		1	1	127	0.8%	No
GLIPR1		1	1	127	0.8%	No
FAM81B		3	3	127	2.4%	No
PABPC1		1	1	127	0.8%	No
ZNF491		1	1	127	0.8%	No
ZNF441		1	1	127	0.8%	No
TTN		66	43	127	33.9%	No
TTK		1	1	127	0.8%	No
LIAS		1	1	127	0.8%	No
TRIM9		4	4	127	3.1%	No
TLK2		1	1	127	0.8%	No
OR2T27		1	1	127	0.8%	No
KDELR3		1	1	127	0.8%	No
TMED1		2	2	127	1.6%	No
TULP2		1	1	127	0.8%	No
L3MBTL4		2	2	127	1.6%	No
FAM111A		2	2	127	1.6%	No
TUBG1		1	1	127	0.8%	No
C14ORF28		2	2	127	1.6%	No
TYK2		4	4	127	3.1%	Yes
TXNRD1		2	2	127	1.6%	No
TYR		1	1	127	0.8%	No
ACOT12		2	2	127	1.6%	No
KIAA0825		2	2	127	1.6%	No
HIRA		1	1	127	0.8%	Yes
TTLL9		1	1	127	0.8%	No
MANBAL		1	1	127	0.8%	No
FAM205A		1	1	127	0.8%	No
GPATCH3		1	1	127	0.8%	No
IL4I1		2	2	127	1.6%	No
IGFN1		1	1	127	0.8%	No
CBLL2		2	2	127	1.6%	No
ZBED8		2	2	127	1.6%	No
TNN		3	3	127	2.4%	No
LDHAL6B		1	1	127	0.8%	No
CHTF18		3	3	127	2.4%	No
ZNF335		1	1	127	0.8%	No
ELMO2		2	2	127	1.6%	No
BLOC1S5		1	1	127	0.8%	No
GALNT11		2	2	127	1.6%	No
GALNT9		1	1	127	0.8%	No
DEF6		3	3	127	2.4%	No
ITSN2		4	4	127	3.1%	No
STEEP1		3	2	127	1.6%	No
ZNF667		2	2	127	1.6%	No
SHROOM1		1	1	127	0.8%	No
MCUR1		1	1	127	0.8%	No
PCIF1		2	2	127	1.6%	No
ITPK1		1	1	127	0.8%	No
ITPR1		7	6	127	4.7%	No
ITPR2		3	3	127	2.4%	No
NOMO3		1	1	127	0.8%	No
ITIH4		1	1	127	0.8%	No
CUZD1		1	1	127	0.8%	No
STT3A		1	1	127	0.8%	No
GEMIN4		1	1	127	0.8%	No
KANSL1L		2	2	127	1.6%	No
FAM227A		1	1	127	0.8%	No
GPSM3		1	1	127	0.8%	No
FKBPL		2	1	127	0.8%	No
ZNF579		2	2	127	1.6%	No
DMRTC2		1	1	127	0.8%	No
TMEM256-PLSCR3		1	1	127	0.8%	No
KDM4C		2	2	127	1.6%	Yes
JAK1		1	1	127	0.8%	Yes
PPRC1		2	2	127	1.6%	No
JAK2		3	3	127	2.4%	Yes
ERC1		3	2	127	1.6%	Yes
EXPH5		4	4	127	3.1%	No
TRIM35		2	1	127	0.8%	No
ITPR3		1	1	127	0.8%	No
JAG2		2	2	127	1.6%	No
ANO7		4	4	127	3.1%	No
FHIP1A		1	1	127	0.8%	No
ARHGAP26		1	1	127	0.8%	Yes
JUND		1	1	127	0.8%	No
TTLL5		5	5	127	3.9%	No
SIPA1L3		5	5	127	3.9%	No
KIF1B		4	4	127	3.1%	No
IQSEC2		4	4	127	3.1%	No
PEDS1-UBE2V1		1	1	127	0.8%	No
PNPLA8		1	1	127	0.8%	No
ZBTB43		1	1	127	0.8%	No
TRAPPC6B		1	1	127	0.8%	No
JARID2		3	3	127	2.4%	Yes
PLB1		2	2	127	1.6%	No
JUN		1	1	127	0.8%	Yes
ZC3H13		3	3	127	2.4%	No
ARHGEF4		2	2	127	1.6%	No
DIDO1		5	5	127	3.9%	No
ADAM30		2	2	127	1.6%	No
SETD1B		2	2	127	1.6%	Yes
ZNF433		2	2	127	1.6%	No
CLSPN		3	3	127	2.4%	No
KCNA2		3	2	127	1.6%	No
ZNF609		2	2	127	1.6%	No
KCNA4		1	1	127	0.8%	No
TBC1D9B		2	2	127	1.6%	No
GGA2		1	1	127	0.8%	No
SETX		3	3	127	2.4%	No
EMC1		2	2	127	1.6%	No
SLC45A1		2	2	127	1.6%	No
ARHGEF3		1	1	127	0.8%	No
ANOS1		1	1	127	0.8%	No
KARS1		1	1	127	0.8%	No
DCUN1D3		2	2	127	1.6%	No
KCNA1		6	5	127	3.9%	No
WDR5		1	1	127	0.8%	No
CACFD1		1	1	127	0.8%	No
VWC2		1	1	127	0.8%	No
ADAMTS13		1	1	127	0.8%	No
ADAMTS5		1	1	127	0.8%	No
PRSS23		1	1	127	0.8%	No
SLC25A35		1	1	127	0.8%	No
KCND1		1	1	127	0.8%	No
KIF13A		1	1	127	0.8%	No
VWA8		3	2	127	1.6%	No
NEUROD6		1	1	127	0.8%	No
NUP210L		3	3	127	2.4%	No
NEUROG2		1	1	127	0.8%	No
ZNF791		3	3	127	2.4%	No
RGPD2		1	1	127	0.8%	No
PRDM16		1	1	127	0.8%	Yes
PRDM14		1	1	127	0.8%	Yes
PRDM15		4	3	127	2.4%	No
C16ORF95		1	1	127	0.8%	No
KCNC3		1	1	127	0.8%	No
HECW1		2	2	127	1.6%	No
ZNF564		2	1	127	0.8%	No
UHRF1BP1L		4	4	127	3.1%	No
SWAP70		1	1	127	0.8%	No
RRP1B		2	2	127	1.6%	No
MYCBP2		4	4	127	3.1%	No
KCNA5		1	1	127	0.8%	No
KCNA6		3	3	127	2.4%	No
KCNA10		2	2	127	1.6%	No
KCNB1		1	1	127	0.8%	No
KCNC1		1	1	127	0.8%	No
KCNC2		1	1	127	0.8%	No
SREK1IP1		1	1	127	0.8%	No
CCDC63		1	1	127	0.8%	No
GCNA		2	2	127	1.6%	No
ZNF454		1	1	127	0.8%	No
KCNJ4		3	3	127	2.4%	No
MYO18A		1	1	127	0.8%	Yes
C5ORF60		1	1	127	0.8%	No
PPTC7		2	2	127	1.6%	No
SCYL2		1	1	127	0.8%	No
RABL6		1	1	127	0.8%	No
RHBDF2		2	2	127	1.6%	No
HECTD3		1	1	127	0.8%	No
YEATS2		6	5	127	3.9%	No
BEND5		1	1	127	0.8%	No
TMEM145		1	1	127	0.8%	No
PRR19		1	1	127	0.8%	No
TRMU		1	1	127	0.8%	No
ARHGAP10		1	1	127	0.8%	No
KCND2		2	2	127	1.6%	No
KCND3		1	1	127	0.8%	No
DYNC2H1		5	4	127	3.1%	No
KCNF1		1	1	127	0.8%	No
FAM111B		1	1	127	0.8%	No
SSX4B		1	1	127	0.8%	No
KCNH1		1	1	127	0.8%	No
KCNH2		1	1	127	0.8%	No
GALNT18		1	1	127	0.8%	No
SLC26A10		1	1	127	0.8%	No
KCNJ14		1	1	127	0.8%	No
KCNJ15		1	1	127	0.8%	No
PINK1		1	1	127	0.8%	No
AK7		2	2	127	1.6%	No
SH2D4B		1	1	127	0.8%	No
WNT4		1	1	127	0.8%	No
LUC7L		1	1	127	0.8%	No
FRMD4A		1	1	127	0.8%	No
PACS1		2	2	127	1.6%	No
CHD3		5	5	127	3.9%	No
CHD2		2	2	127	1.6%	Yes
NSUN5		1	1	127	0.8%	No
CHD1		1	1	127	0.8%	No
HAO1		1	1	127	0.8%	No
CHMP6		1	1	127	0.8%	No
CHAT		2	2	127	1.6%	No
CLXN		2	2	127	1.6%	No
RCBTB2		1	1	127	0.8%	No
SRD5A3		2	2	127	1.6%	No
TMC4		2	1	127	0.8%	No
PANK3		1	1	127	0.8%	No
C19ORF54		1	1	127	0.8%	No
MAP7D3		3	3	127	2.4%	No
KCNJ6		1	1	127	0.8%	No
MCPH1		1	1	127	0.8%	No
ZNF780A		2	2	127	1.6%	No
KCNJ8		2	2	127	1.6%	No
AKR1C4		1	1	127	0.8%	No
KCNJ12		1	1	127	0.8%	No
CHD4		4	4	127	3.1%	Yes
SYCE1L		1	1	127	0.8%	No
ZNF321P		1	1	127	0.8%	No
MEX3D		1	1	127	0.8%	No
KCNN2		2	2	127	1.6%	No
ATP5IF1		1	1	127	0.8%	No
FAM102A		1	1	127	0.8%	No
CHM		1	1	127	0.8%	No
CHKB		2	2	127	1.6%	No
TUT7		4	4	127	3.1%	No
FN3KRP		2	2	127	1.6%	No
NLRX1		2	2	127	1.6%	No
CHIT1		1	1	127	0.8%	No
VEPH1		4	4	127	3.1%	No
CHI3L2		1	1	127	0.8%	No
ZNF329		1	1	127	0.8%	No
CHI3L1		1	1	127	0.8%	No
