Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
LRIG2		2	2	88	2.3%	No
WWP2		3	3	88	3.4%	No
MMAB		1	1	88	1.1%	No
TRIL		2	2	88	2.3%	No
SOX30		2	1	88	1.1%	No
CBX4		1	1	88	1.1%	No
TRIO		4	4	88	4.5%	No
CPZ		2	2	88	2.3%	No
CCT3		1	1	88	1.1%	No
COPS3		1	1	88	1.1%	No
CNTRL		3	3	88	3.4%	Yes
ANO3		3	3	88	3.4%	No
PDS5B		2	2	88	2.3%	Yes
SMG1		7	5	88	5.7%	Yes
AKR1B1		1	1	88	1.1%	No
MYT1L		1	1	88	1.1%	No
MON2		2	2	88	2.3%	No
PDXDC1		1	1	88	1.1%	No
TNIK		4	4	88	4.5%	No
ALK		1	1	88	1.1%	Yes
PPP1R26		1	1	88	1.1%	No
CEP170		4	4	88	4.5%	No
DGKZ		2	2	88	2.3%	No
KIAA0319		1	1	88	1.1%	No
RAPGEF4		2	2	88	2.3%	No
RALYL		1	1	88	1.1%	No
CEP350		1	1	88	1.1%	No
ADGRG4		5	5	88	5.7%	No
CNTN4		2	2	88	2.3%	No
PPFIA3		3	3	88	3.4%	No
TMEM115		2	2	88	2.3%	No
FCHSD2		1	1	88	1.1%	No
AREL1		2	2	88	2.3%	No
AGPS		1	1	88	1.1%	No
AP3B1		3	3	88	3.4%	No
ZC3H11A		1	1	88	1.1%	No
TOPBP1		3	2	88	2.3%	No
TLK1		1	1	88	1.1%	No
TPPP		1	1	88	1.1%	No
URB1		1	1	88	1.1%	No
RWDD4		1	1	88	1.1%	No
ALOX5		1	1	88	1.1%	No
ALOX12B		1	1	88	1.1%	Yes
ZHX3		2	2	88	2.3%	No
HGSNAT		1	1	88	1.1%	No
ALOX15B		1	1	88	1.1%	No
ZSWIM8		1	1	88	1.1%	No
ALPI		2	1	88	1.1%	No
NCOA6		2	2	88	2.3%	No
SETDB1		4	3	88	3.4%	Yes
TRIOBP		5	3	88	3.4%	No
API5		1	1	88	1.1%	No
CAMK1		1	1	88	1.1%	No
TOMM70		2	1	88	1.1%	No
TRPC1		2	1	88	1.1%	No
BHLHE40		1	1	88	1.1%	No
LRRC37A		1	1	88	1.1%	No
MAPKAPK5		1	1	88	1.1%	No
TRANK1		2	2	88	2.3%	No
CDC14A		1	1	88	1.1%	No
TRPC4		1	1	88	1.1%	No
PIM2		1	1	88	1.1%	No
OSBPL2		1	1	88	1.1%	No
MID2		1	1	88	1.1%	No
CDC14B		2	2	88	2.3%	No
RHOBTB1		1	1	88	1.1%	No
TMCC1		1	1	88	1.1%	No
PDZRN3		1	1	88	1.1%	No
UNC13A		1	1	88	1.1%	No
MYO16		2	2	88	2.3%	No
CT45A5		1	1	88	1.1%	No
ZBTB39		1	1	88	1.1%	No
KDM1A		1	1	88	1.1%	No
RBM34		1	1	88	1.1%	No
SNRNP200		1	1	88	1.1%	No
PALLD		1	1	88	1.1%	No
LGR5		2	1	88	1.1%	No
UPK1A		1	1	88	1.1%	No
TRO		1	1	88	1.1%	No
ADRM1		1	1	88	1.1%	No
DDX46		1	1	88	1.1%	No
THOC5		1	1	88	1.1%	No
KMO		1	1	88	1.1%	No
TECPR2		2	2	88	2.3%	No
SNAP91		2	2	88	2.3%	No
UBAP2L		2	1	88	1.1%	No
SV2B		1	1	88	1.1%	No
YARS1		2	1	88	1.1%	No
FIG4		1	1	88	1.1%	No
WASHC5		1	1	88	1.1%	No
SAMD4A		3	3	88	3.4%	No
ZNF292		5	4	88	4.5%	No
PDZD2		1	1	88	1.1%	No
PLPPR4		1	1	88	1.1%	No
WDTC1		1	1	88	1.1%	No
NUAK1		1	1	88	1.1%	No
AMD1		2	2	88	2.3%	No
B3GALT5-AS1		1	1	88	1.1%	No
AMFR		1	1	88	1.1%	No
KDM4B		1	1	88	1.1%	No
MAST3		5	3	88	3.4%	No
PRR14L		3	2	88	2.3%	No
USP33		2	2	88	2.3%	No
FBF1		1	1	88	1.1%	No
DOP1A		1	1	88	1.1%	No
DDX52		1	1	88	1.1%	No
TRPS1		1	1	88	1.1%	No
COL27A1		4	4	88	4.5%	No
CDK10		2	2	88	2.3%	No
PRPF18		1	1	88	1.1%	No
OR5H15		1	1	88	1.1%	No
CASK		2	2	88	2.3%	No
SCARF1		2	2	88	2.3%	No
WDFY3		4	4	88	4.5%	No
DAAM1		1	1	88	1.1%	No
AMPD2		1	1	88	1.1%	No
KHSRP		2	2	88	2.3%	No
MAPKBP1		1	1	88	1.1%	No
PLCH1		4	3	88	3.4%	No
AMY2A		1	1	88	1.1%	No
MKNK1		1	1	88	1.1%	Yes
LILRB3		1	1	88	1.1%	No
B3GNT5		2	2	88	2.3%	No
LILRA2		1	1	88	1.1%	No
LILRA3		3	3	88	3.4%	No
RBPMS		1	1	88	1.1%	No
DCAF4L2		1	1	88	1.1%	No
SPEN		11	6	88	6.8%	Yes
AMY2B		3	3	88	3.4%	No
GOLGA8A		3	2	88	2.3%	No
ANK1		1	1	88	1.1%	No
ANK2		8	7	88	8.0%	No
ANK3		3	3	88	3.4%	No
TSC2		3	3	88	3.4%	Yes
ABCC11		2	2	88	2.3%	No
GFUS		1	1	88	1.1%	No
TST		1	1	88	1.1%	No
ZNF440		1	1	88	1.1%	No
TTC3		4	3	88	3.4%	No
ZNF285		1	1	88	1.1%	No
IL21		1	1	88	1.1%	No
ANPEP		1	1	88	1.1%	No
SLC25A5		2	2	88	2.3%	No
PARP15		1	1	88	1.1%	No
EIPR1		1	1	88	1.1%	No
CCDC159		1	1	88	1.1%	No
SWSAP1		1	1	88	1.1%	No
SLC27A2		3	3	88	3.4%	No
SLC27A3		1	1	88	1.1%	No
SPINK5		2	2	88	2.3%	No
KIF2C		2	2	88	2.3%	No
SHISAL1		1	1	88	1.1%	No
LILRB4		1	1	88	1.1%	No
TUB		3	3	88	3.4%	No
TTR		1	1	88	1.1%	No
ARSK		1	1	88	1.1%	No
GLIPR1		1	1	88	1.1%	No
FAM81B		2	2	88	2.3%	No
AP3M1		1	1	88	1.1%	No
ZNF491		1	1	88	1.1%	No
TTN		45	32	88	36.4%	No
TTK		1	1	88	1.1%	No
TRIM9		4	4	88	4.5%	No
TLK2		1	1	88	1.1%	No
OR2T27		4	3	88	3.4%	No
KDELR3		1	1	88	1.1%	No
TMED1		1	1	88	1.1%	No
TULP2		1	1	88	1.1%	No
L3MBTL4		1	1	88	1.1%	No
FAM111A		2	2	88	2.3%	No
TUBG1		1	1	88	1.1%	No
C14ORF28		1	1	88	1.1%	No
TYK2		3	3	88	3.4%	Yes
TXNRD1		1	1	88	1.1%	No
ACOT12		2	2	88	2.3%	No
TWIST1		1	1	88	1.1%	No
SLC17A9		1	1	88	1.1%	No
HIRA		1	1	88	1.1%	Yes
VSTM2A		1	1	88	1.1%	No
TTLL9		1	1	88	1.1%	No
TXK		1	1	88	1.1%	No
FAM205A		2	2	88	2.3%	No
GPATCH3		2	2	88	2.3%	No
IL4I1		2	2	88	2.3%	No
IGFN1		1	1	88	1.1%	No
CBLL2		1	1	88	1.1%	No
ZBED8		2	2	88	2.3%	No
LDHAL6B		1	1	88	1.1%	No
ELMO2		1	1	88	1.1%	No
GALNT11		1	1	88	1.1%	No
FAM174A		1	1	88	1.1%	No
DEF6		1	1	88	1.1%	No
ITSN2		4	4	88	4.5%	No
STEEP1		1	1	88	1.1%	No
ZNF667		1	1	88	1.1%	No
SHROOM1		1	1	88	1.1%	No
MCUR1		1	1	88	1.1%	No
PCIF1		1	1	88	1.1%	No
ITPK1		1	1	88	1.1%	No
ITPKA		1	1	88	1.1%	No
ITPKB		1	1	88	1.1%	No
ITPR1		6	5	88	5.7%	No
ITPR2		1	1	88	1.1%	No
GPR153		1	1	88	1.1%	No
ITIH4		1	1	88	1.1%	No
GEMIN4		1	1	88	1.1%	No
FAM227A		2	2	88	2.3%	No
FKBPL		2	1	88	1.1%	No
PPRC1		1	1	88	1.1%	No
JAK2		4	4	88	4.5%	Yes
ERC1		1	1	88	1.1%	Yes
EXPH5		3	3	88	3.4%	No
SEPTIN7P14		1	1	88	1.1%	No
IVL		1	1	88	1.1%	No
ANO7		2	2	88	2.3%	No
FHIP1A		1	1	88	1.1%	No
JUND		1	1	88	1.1%	No
TTLL5		2	2	88	2.3%	No
SIPA1L3		1	1	88	1.1%	No
KIF1B		3	3	88	3.4%	No
IQSEC2		2	2	88	2.3%	No
SARM1		1	1	88	1.1%	No
PNPLA8		2	2	88	2.3%	No
JARID2		2	2	88	2.3%	Yes
JUN		2	2	88	2.3%	Yes
ZC3H13		1	1	88	1.1%	No
ARHGEF4		1	1	88	1.1%	No
DIDO1		2	2	88	2.3%	No
ADAM30		1	1	88	1.1%	No
ZNF433		1	1	88	1.1%	No
CLSPN		1	1	88	1.1%	No
KCNA2		1	1	88	1.1%	No
ZNF609		1	1	88	1.1%	No
TBC1D9B		1	1	88	1.1%	No
GGA2		1	1	88	1.1%	No
WAPL		1	1	88	1.1%	No
SETX		2	2	88	2.3%	No
EMC1		1	1	88	1.1%	No
ARHGEF3		1	1	88	1.1%	No
ANOS1		1	1	88	1.1%	No
DCUN1D3		1	1	88	1.1%	No
KCNA1		2	2	88	2.3%	No
ADAMTS13		1	1	88	1.1%	No
PRSS23		2	2	88	2.3%	No
SLC25A35		1	1	88	1.1%	No
VWA8		1	1	88	1.1%	No
NUP210L		2	2	88	2.3%	No
NEUROG2		2	2	88	2.3%	No
ZNF791		1	1	88	1.1%	No
RGPD2		1	1	88	1.1%	No
PRDM16		2	2	88	2.3%	Yes
PRDM14		1	1	88	1.1%	Yes
PRDM15		3	2	88	2.3%	No
C16ORF95		1	1	88	1.1%	No
KCNC3		2	1	88	1.1%	No
HECW1		3	3	88	3.4%	No
ZNF564		2	1	88	1.1%	No
UHRF1BP1L		2	2	88	2.3%	No
SWAP70		1	1	88	1.1%	No
RRP1B		1	1	88	1.1%	No
MYCBP2		3	3	88	3.4%	No
KCNA5		1	1	88	1.1%	No
KCNA6		2	2	88	2.3%	No
KCNA10		1	1	88	1.1%	No
KCNB1		1	1	88	1.1%	No
CCDC63		1	1	88	1.1%	No
GCNA		2	2	88	2.3%	No
ZNF454		1	1	88	1.1%	No
KCNJ4		1	1	88	1.1%	No
MYO18A		1	1	88	1.1%	Yes
PPTC7		1	1	88	1.1%	No
RHBDF2		1	1	88	1.1%	No
YEATS2		2	2	88	2.3%	No
TMEM145		1	1	88	1.1%	No
TRMU		2	2	88	2.3%	No
KCND2		1	1	88	1.1%	No
KCND3		1	1	88	1.1%	No
DYNC2H1		6	6	88	6.8%	No
KCNF1		1	1	88	1.1%	No
SSX4B		2	2	88	2.3%	No
KCNH2		1	1	88	1.1%	No
SLC26A6		1	1	88	1.1%	No
KCNJ14		1	1	88	1.1%	No
PINK1		1	1	88	1.1%	No
LUC7L		1	1	88	1.1%	No
FRMD4A		1	1	88	1.1%	No
CHD3		5	5	88	5.7%	No
NSUN5		1	1	88	1.1%	No
C22ORF46		1	1	88	1.1%	No
CHD1		1	1	88	1.1%	No
HAO1		1	1	88	1.1%	No
CHAT		1	1	88	1.1%	No
CLXN		1	1	88	1.1%	No
TMC4		2	1	88	1.1%	No
PANK3		1	1	88	1.1%	No
C19ORF54		1	1	88	1.1%	No
KCNJ5		1	1	88	1.1%	Yes
MAP7D3		1	1	88	1.1%	No
KCNJ6		1	1	88	1.1%	No
MCPH1		1	1	88	1.1%	No
ZNF780A		1	1	88	1.1%	No
KCNJ8		2	2	88	2.3%	No
AKR1C4		1	1	88	1.1%	No
KCNJ12		1	1	88	1.1%	No
CHD4		2	2	88	2.3%	Yes
ACTR8		1	1	88	1.1%	No
ATP5IF1		1	1	88	1.1%	No
FAM102A		1	1	88	1.1%	No
CHM		1	1	88	1.1%	No
CHKB		2	2	88	2.3%	No
TUT7		2	2	88	2.3%	No
FN3KRP		1	1	88	1.1%	No
NLRX1		1	1	88	1.1%	No
VEPH1		2	2	88	2.3%	No
CHI3L1		2	2	88	2.3%	No
FASTKD1		2	2	88	2.3%	No
CHGB		1	1	88	1.1%	No
CHGA		2	2	88	2.3%	No
SMC6		1	1	88	1.1%	No
FOXN3		1	1	88	1.1%	No
PRUNE2		4	4	88	4.5%	No
HEATR4		2	1	88	1.1%	No
ZSCAN1		1	1	88	1.1%	No
KCNK1		1	1	88	1.1%	No
KCNK2		1	1	88	1.1%	No
CHKA		2	2	88	2.3%	No
KDR		1	1	88	1.1%	Yes
LYST		3	3	88	3.4%	No
CERS3		1	1	88	1.1%	No
CHRM2		1	1	88	1.1%	No
ICE2		2	2	88	2.3%	No
ZIK1		1	1	88	1.1%	No
CHN2		2	2	88	2.3%	No
KCNQ1		1	1	88	1.1%	No
KCNQ2		3	2	88	2.3%	No
KIAA1958		1	1	88	1.1%	No
CHRNB2		1	1	88	1.1%	No
CHRNB1		1	1	88	1.1%	No
SDHAP1		3	3	88	3.4%	No
CHRNA5		2	2	88	2.3%	No
SENP5		1	1	88	1.1%	No
ZYG11B		3	2	88	2.3%	No
SLFN12L		1	1	88	1.1%	No
KIF5B		1	1	88	1.1%	Yes
ZNF841		2	1	88	1.1%	No
ZNF615		2	2	88	2.3%	No
RAPH1		1	1	88	1.1%	No
KIF4B		2	2	88	2.3%	No
CIRBP		1	1	88	1.1%	No
FRG1		1	1	88	1.1%	No
RTL10		1	1	88	1.1%	No
ZDHHC14		1	1	88	1.1%	No
MSANTD2		1	1	88	1.1%	No
CHUK		2	2	88	2.3%	No
STEAP4		1	1	88	1.1%	No
CHRNE		1	1	88	1.1%	No
MTOR		3	3	88	3.4%	Yes
DERL3		1	1	88	1.1%	No
NBEAL1		4	2	88	2.3%	No
LRP5L		2	2	88	2.3%	No
IRX4		1	1	88	1.1%	No
ASAP1		2	2	88	2.3%	No
NR5A2		1	1	88	1.1%	No
OR2V2		1	1	88	1.1%	No
FSHR		1	1	88	1.1%	No
CENPI		1	1	88	1.1%	No
DDX60L		2	2	88	2.3%	No
ZNF597		2	2	88	2.3%	No
BICDL2		1	1	88	1.1%	No
TBCB		1	1	88	1.1%	No
KIR3DX1		1	1	88	1.1%	No
AP3S1		2	2	88	2.3%	No
AP2M1		1	1	88	1.1%	No
LYPD5		1	1	88	1.1%	No
SYT11		1	1	88	1.1%	No
OR4C12		1	1	88	1.1%	No
ANKRD13D		1	1	88	1.1%	No
CLCNKA		2	2	88	2.3%	No
USP49		1	1	88	1.1%	No
ATP11B		4	4	88	4.5%	No
WHRN		1	1	88	1.1%	No
CLCN6		2	2	88	2.3%	No
CLCN5		3	2	88	2.3%	No
PRKD2		1	1	88	1.1%	No
CLCN2		1	1	88	1.1%	No
ACSBG1		1	1	88	1.1%	No
ANKRD42		1	1	88	1.1%	No
CLCN1		2	2	88	2.3%	No
DUS3L		2	2	88	2.3%	No
KIF21A		3	3	88	3.4%	No
NLRC5		1	1	88	1.1%	No
MST1L		1	1	88	1.1%	No
TENT5A		1	1	88	1.1%	No
CDKN2AIP		1	1	88	1.1%	No
KIAA1109		2	2	88	2.3%	No
CA10		1	1	88	1.1%	No
GALNT5		2	2	88	2.3%	No
PPP1R9A		1	1	88	1.1%	No
ASCC2		1	1	88	1.1%	No
GTF2IRD2		1	1	88	1.1%	No
NBEAL2		4	3	88	3.4%	No
RABGAP1L		1	1	88	1.1%	No
CLK3		1	1	88	1.1%	No
CLK2		2	2	88	2.3%	No
LETMD1		1	1	88	1.1%	No
CLK1		1	1	88	1.1%	No
PRRC2C		2	2	88	2.3%	No
TBC1D1		1	1	88	1.1%	No
ZFR2		3	2	88	2.3%	No
MXRA5		5	5	88	5.7%	No
HMCES		1	1	88	1.1%	No
DENND4B		1	1	88	1.1%	No
FERMT1		1	1	88	1.1%	No
ARID5B		1	1	88	1.1%	Yes
TRUB1		1	1	88	1.1%	No
SDR39U1		1	1	88	1.1%	No
XAB2		1	1	88	1.1%	No
KIF16B		3	3	88	3.4%	No
SRGAP3		1	1	88	1.1%	No
OTOG		2	2	88	2.3%	No
PDCD10		1	1	88	1.1%	No
DOCK10		2	2	88	2.3%	No
SGSM2		1	1	88	1.1%	No
MFF		1	1	88	1.1%	No
CHD6		5	5	88	5.7%	No
OR5F1		2	1	88	1.1%	No
YIPF3		1	1	88	1.1%	No
SEC16A		3	2	88	2.3%	No
THUMPD1		1	1	88	1.1%	No
STAP2		2	2	88	2.3%	No
SUPT7L		1	1	88	1.1%	No
ATP2C2		2	2	88	2.3%	No
AMBRA1		1	1	88	1.1%	No
TMEM164		1	1	88	1.1%	No
TMCC2		3	3	88	3.4%	No
ARHGAP44		2	2	88	2.3%	No
CHEK2		1	1	88	1.1%	Yes
SLITRK6		2	2	88	2.3%	No
MEPE		2	2	88	2.3%	No
NCAPD2		2	2	88	2.3%	No
ARNT2		1	1	88	1.1%	No
ZNF407		1	1	88	1.1%	No
HELZ		2	2	88	2.3%	No
TECPR1		1	1	88	1.1%	No
ARMC8		2	1	88	1.1%	No
BRMS1		2	2	88	2.3%	No
FAM149A		1	1	88	1.1%	No
CENATAC		1	1	88	1.1%	No
KRBOX4		1	1	88	1.1%	No
ANXA2		1	1	88	1.1%	No
TBC1D22B		1	1	88	1.1%	No
LRRC40		1	1	88	1.1%	No
SHD		1	1	88	1.1%	No
PAN2		1	1	88	1.1%	No
SYBU		2	2	88	2.3%	No
ZBTB5		1	1	88	1.1%	No
PLPBP		1	1	88	1.1%	No
CHD7		6	6	88	6.8%	No
ANXA5		1	1	88	1.1%	No
ZBTB40		2	2	88	2.3%	No
DEPDC1		1	1	88	1.1%	No
AKAP13		2	2	88	2.3%	No
IRAK3		1	1	88	1.1%	No
LPGAT1		1	1	88	1.1%	No
MFN2		1	1	88	1.1%	No
AKAP11		1	1	88	1.1%	No
FBXL2		1	1	88	1.1%	No
XYLB		1	1	88	1.1%	No
OXSR1		1	1	88	1.1%	No
B3GLCT		1	1	88	1.1%	No
TPSG1		2	2	88	2.3%	No
LRRC66		1	1	88	1.1%	No
GBP4		1	1	88	1.1%	No
OR4M1		1	1	88	1.1%	No
ZNF93		1	1	88	1.1%	No
ANXA11		1	1	88	1.1%	No
NAA16		1	1	88	1.1%	No
ATXN7L3		1	1	88	1.1%	No
ACSS3		2	2	88	2.3%	No
PCP2		1	1	88	1.1%	No
TANGO6		2	2	88	2.3%	No
SPANXN5		1	1	88	1.1%	No
MAFB		1	1	88	1.1%	Yes
APAF1		1	1	88	1.1%	No
PUM3		2	2	88	2.3%	No
HMBOX1		1	1	88	1.1%	No
P2RY14		1	1	88	1.1%	No
STOX2		1	1	88	1.1%	No
DCLRE1A		2	2	88	2.3%	No
RUVBL1		1	1	88	1.1%	No
NIPBL		3	3	88	3.4%	No
METTL25		2	2	88	2.3%	No
ASMTL		1	1	88	1.1%	Yes
CDK13		4	4	88	4.5%	No
